Hotel_name,name,rating,review
ASTON Bellevue Radio Dalam,Muthia Azhari,5.0,"During my stay, the room was good, nice design and clean. No issues at all. The public facilities were fine, and breakfast was okay too. But the air freshener in the lobby was pretty strong and a bit unpleasant. Maybe it’s just personal preference, though. The rest of the hotel’s scent was fine, just the lobby one was a bit too much."
ASTON Bellevue Radio Dalam,Stephen Hilsum,4.0,"A pleasant hotel. Clean, comfortable room. Excellent powerful shower.

However, despite some of the hotel's media advertising 24-hour room service, I was disappointed to discover - when I was hungry at 11pm - that room service finishes at 10pm. I sent a complaint to the Manager about this. Although I am similarly disappointed not to have received the courtesy of a reply from the Manager, I notice that the hotel's website has been amended to show that room service is not available for 24 hours. Whilst many hotels did cut back on their room-service hours during the pandemic, I would expect now a 4* hotel to provide 24-hour room service, even if it's with a reduced menu at night."
ASTON Bellevue Radio Dalam,Celia,5.0,"nice hotel rooms here, the facilities are good 👍 i stayed with my family, near gandaria city or pondok indah mall. The breakfast was also good 👍 i love it! free of parking charge for grab driver, just tell the lobby about your room stay and the car plate number 😁"
ASTON Bellevue Radio Dalam,Trip.com Member,4.5,Very convenient location. Less than 5 minutes drive to PIM mall. The staffs are very friendly and ready to assist you. The room is spacious and clean. The breakfast place was very crowded tho. I couldn’t find place to sit for breakfast.
ASTON Bellevue Radio Dalam,Rizky,4.0,"Stayed here for 2 nights.

The room was good, clean, spacious, and the ac was working properly. The shower head needs to be cleaned though.

My only complaint here is on the breakfast service, i can't found any coffee cup! There were only 2 which i believed was used as it has traces of coffee inside it. And the taste of the overall breakfast is okay which is disappointing for Aston."
ASTON Bellevue Radio Dalam,Aaliya Mia,5.0,"Modern and beautifully decorated hotel. Rooms are comfortable with an excellent bed and pillows.

Service is excellent and all requests are attended to promptly.

The Breakfast buffet offers a good selection of options, mostly Indonesian with some western options. The pastries are superb."
ASTON Bellevue Radio Dalam,Fakhri M,5.0,"I booked 2 night for my anniversary trip. The staff really helpful especially the one named Fahrezy. He helped me with the surprise. Then on my breakfast my slipper was broken, without I asking for it, staff respond it with new slippers. So, I am amazed with the staff||The hotel itself really comfortable and worth for money. The location also great because it was accessible to anywhere."
ASTON Bellevue Radio Dalam,YOUNG IN OH,1.0,"I rarely write negative reviews, but this time, I must say that the Aston Bellevue Hotel appears to have various issues. When selecting a hotel for the business trip team in Jakarta, our main considerations were accessibility and ease of travel to other regions, which led us to choose Aston Bellevue. However, the process of making reservations and handling changes was extremely inconvenient, and the attitude of the manager and staff—prioritizing the hotel's interests over customer satisfaction—was downright unpleasant.

For instance, a request to change the reservation name and a simple dinner request around 10 PM, when we were expected to arrive at the hotel, were denied because ""no services could be provided before check-in."" Upon arrival, we discovered that the restaurant had already closed, leaving no options for food. When I inquired with the team about the hotel’s internal conditions and their experience, all members expressed disappointment, citing that the facilities were outdated for the price range, and many were in poor hygienic and functional condition.

The reception, restaurant, and staff were neither friendly nor skilled, providing subpar service that failed to meet even basic standards. A hotel should prioritize offering its guests a comfortable stay and a sense of security during their travels. However, Aston Bellevue seemed entirely focused on maximizing profits, showing no concern for guest satisfaction or convenience.

Even the Christmas tree in the lobby appeared hastily assembled without effort or care, resembling something one might see in a private home rather than a professional establishment. While small and simple details, they reflected a broader lack of commitment to fulfilling the fundamental duties of a hotel. Aston Bellevue gave the impression of a place operating with the mindset of ""take it or leave it"" and prioritizing profit over hospitality.

To summarize, this is a hotel I would never want to return to. It is embarrassing that a hotel of such poor standards exists in such a central location in Jakarta. Recommending this hotel to the team brought me significant embarrassment and discomfort, and it failed to meet expectations on every level."
ASTON Bellevue Radio Dalam,Muthia Azhari,5.0,"During my stay, the room was good, nice design and clean. No issues at all. The public facilities were fine, and breakfast was okay too. But the air freshener in the lobby was pretty strong and a bit unpleasant. Maybe it’s just personal preference, though. The rest of the hotel’s scent was fine, just the lobby one was a bit too much."
ASTON Bellevue Radio Dalam,Stephen Hilsum,4.0,"A pleasant hotel. Clean, comfortable room. Excellent powerful shower.

However, despite some of the hotel's media advertising 24-hour room service, I was disappointed to discover - when I was hungry at 11pm - that room service finishes at 10pm. I sent a complaint to the Manager about this. Although I am similarly disappointed not to have received the courtesy of a reply from the Manager, I notice that the hotel's website has been amended to show that room service is not available for 24 hours. Whilst many hotels did cut back on their room-service hours during the pandemic, I would expect now a 4* hotel to provide 24-hour room service, even if it's with a reduced menu at night."
ASTON Bellevue Radio Dalam,Celia,5.0,"nice hotel rooms here, the facilities are good 👍 i stayed with my family, near gandaria city or pondok indah mall. The breakfast was also good 👍 i love it! free of parking charge for grab driver, just tell the lobby about your room stay and the car plate number 😁"
ASTON Bellevue Radio Dalam,Trip.com Member,4.5,Very convenient location. Less than 5 minutes drive to PIM mall. The staffs are very friendly and ready to assist you. The room is spacious and clean. The breakfast place was very crowded tho. I couldn’t find place to sit for breakfast.
ASTON Bellevue Radio Dalam,Rizky,4.0,"Stayed here for 2 nights.

The room was good, clean, spacious, and the ac was working properly. The shower head needs to be cleaned though.

My only complaint here is on the breakfast service, i can't found any coffee cup! There were only 2 which i believed was used as it has traces of coffee inside it. And the taste of the overall breakfast is okay which is disappointing for Aston."
ASTON Bellevue Radio Dalam,Aaliya Mia,5.0,"Modern and beautifully decorated hotel. Rooms are comfortable with an excellent bed and pillows.

Service is excellent and all requests are attended to promptly.

The Breakfast buffet offers a good selection of options, mostly Indonesian with some western options. The pastries are superb."
ASTON Bellevue Radio Dalam,Fakhri M,5.0,"I booked 2 night for my anniversary trip. The staff really helpful especially the one named Fahrezy. He helped me with the surprise. Then on my breakfast my slipper was broken, without I asking for it, staff respond it with new slippers. So, I am amazed with the staff||The hotel itself really comfortable and worth for money. The location also great because it was accessible to anywhere."
ASTON Bellevue Radio Dalam,YOUNG IN OH,1.0,"I rarely write negative reviews, but this time, I must say that the Aston Bellevue Hotel appears to have various issues. When selecting a hotel for the business trip team in Jakarta, our main considerations were accessibility and ease of travel to other regions, which led us to choose Aston Bellevue. However, the process of making reservations and handling changes was extremely inconvenient, and the attitude of the manager and staff—prioritizing the hotel's interests over customer satisfaction—was downright unpleasant.

For instance, a request to change the reservation name and a simple dinner request around 10 PM, when we were expected to arrive at the hotel, were denied because ""no services could be provided before check-in."" Upon arrival, we discovered that the restaurant had already closed, leaving no options for food. When I inquired with the team about the hotel’s internal conditions and their experience, all members expressed disappointment, citing that the facilities were outdated for the price range, and many were in poor hygienic and functional condition.

The reception, restaurant, and staff were neither friendly nor skilled, providing subpar service that failed to meet even basic standards. A hotel should prioritize offering its guests a comfortable stay and a sense of security during their travels. However, Aston Bellevue seemed entirely focused on maximizing profits, showing no concern for guest satisfaction or convenience.

Even the Christmas tree in the lobby appeared hastily assembled without effort or care, resembling something one might see in a private home rather than a professional establishment. While small and simple details, they reflected a broader lack of commitment to fulfilling the fundamental duties of a hotel. Aston Bellevue gave the impression of a place operating with the mindset of ""take it or leave it"" and prioritizing profit over hospitality.

To summarize, this is a hotel I would never want to return to. It is embarrassing that a hotel of such poor standards exists in such a central location in Jakarta. Recommending this hotel to the team brought me significant embarrassment and discomfort, and it failed to meet expectations on every level."
ASTON Bellevue Radio Dalam,Muthia Azhari,5.0,"During my stay, the room was good, nice design and clean. No issues at all. The public facilities were fine, and breakfast was okay too. But the air freshener in the lobby was pretty strong and a bit unpleasant. Maybe it’s just personal preference, though. The rest of the hotel’s scent was fine, just the lobby one was a bit too much."
ASTON Bellevue Radio Dalam,Stephen Hilsum,4.0,"A pleasant hotel. Clean, comfortable room. Excellent powerful shower.

However, despite some of the hotel's media advertising 24-hour room service, I was disappointed to discover - when I was hungry at 11pm - that room service finishes at 10pm. I sent a complaint to the Manager about this. Although I am similarly disappointed not to have received the courtesy of a reply from the Manager, I notice that the hotel's website has been amended to show that room service is not available for 24 hours. Whilst many hotels did cut back on their room-service hours during the pandemic, I would expect now a 4* hotel to provide 24-hour room service, even if it's with a reduced menu at night."
ASTON Bellevue Radio Dalam,Celia,5.0,"nice hotel rooms here, the facilities are good 👍 i stayed with my family, near gandaria city or pondok indah mall. The breakfast was also good 👍 i love it! free of parking charge for grab driver, just tell the lobby about your room stay and the car plate number 😁"
ASTON Bellevue Radio Dalam,Trip.com Member,4.5,Very convenient location. Less than 5 minutes drive to PIM mall. The staffs are very friendly and ready to assist you. The room is spacious and clean. The breakfast place was very crowded tho. I couldn’t find place to sit for breakfast.
ASTON Bellevue Radio Dalam,Rizky,4.0,"Stayed here for 2 nights.

The room was good, clean, spacious, and the ac was working properly. The shower head needs to be cleaned though.

My only complaint here is on the breakfast service, i can't found any coffee cup! There were only 2 which i believed was used as it has traces of coffee inside it. And the taste of the overall breakfast is okay which is disappointing for Aston."
ASTON Bellevue Radio Dalam,Aaliya Mia,5.0,"Modern and beautifully decorated hotel. Rooms are comfortable with an excellent bed and pillows.

Service is excellent and all requests are attended to promptly.

The Breakfast buffet offers a good selection of options, mostly Indonesian with some western options. The pastries are superb."
ASTON Bellevue Radio Dalam,Fakhri M,5.0,"I booked 2 night for my anniversary trip. The staff really helpful especially the one named Fahrezy. He helped me with the surprise. Then on my breakfast my slipper was broken, without I asking for it, staff respond it with new slippers. So, I am amazed with the staff||The hotel itself really comfortable and worth for money. The location also great because it was accessible to anywhere."
ASTON Bellevue Radio Dalam,YOUNG IN OH,1.0,"I rarely write negative reviews, but this time, I must say that the Aston Bellevue Hotel appears to have various issues. When selecting a hotel for the business trip team in Jakarta, our main considerations were accessibility and ease of travel to other regions, which led us to choose Aston Bellevue. However, the process of making reservations and handling changes was extremely inconvenient, and the attitude of the manager and staff—prioritizing the hotel's interests over customer satisfaction—was downright unpleasant.

For instance, a request to change the reservation name and a simple dinner request around 10 PM, when we were expected to arrive at the hotel, were denied because ""no services could be provided before check-in."" Upon arrival, we discovered that the restaurant had already closed, leaving no options for food. When I inquired with the team about the hotel’s internal conditions and their experience, all members expressed disappointment, citing that the facilities were outdated for the price range, and many were in poor hygienic and functional condition.

The reception, restaurant, and staff were neither friendly nor skilled, providing subpar service that failed to meet even basic standards. A hotel should prioritize offering its guests a comfortable stay and a sense of security during their travels. However, Aston Bellevue seemed entirely focused on maximizing profits, showing no concern for guest satisfaction or convenience.

Even the Christmas tree in the lobby appeared hastily assembled without effort or care, resembling something one might see in a private home rather than a professional establishment. While small and simple details, they reflected a broader lack of commitment to fulfilling the fundamental duties of a hotel. Aston Bellevue gave the impression of a place operating with the mindset of ""take it or leave it"" and prioritizing profit over hospitality.

To summarize, this is a hotel I would never want to return to. It is embarrassing that a hotel of such poor standards exists in such a central location in Jakarta. Recommending this hotel to the team brought me significant embarrassment and discomfort, and it failed to meet expectations on every level."
ASTON Bellevue Radio Dalam,Muthia Azhari,5.0,"During my stay, the room was good, nice design and clean. No issues at all. The public facilities were fine, and breakfast was okay too. But the air freshener in the lobby was pretty strong and a bit unpleasant. Maybe it’s just personal preference, though. The rest of the hotel’s scent was fine, just the lobby one was a bit too much."
ASTON Bellevue Radio Dalam,Stephen Hilsum,4.0,"A pleasant hotel. Clean, comfortable room. Excellent powerful shower.

However, despite some of the hotel's media advertising 24-hour room service, I was disappointed to discover - when I was hungry at 11pm - that room service finishes at 10pm. I sent a complaint to the Manager about this. Although I am similarly disappointed not to have received the courtesy of a reply from the Manager, I notice that the hotel's website has been amended to show that room service is not available for 24 hours. Whilst many hotels did cut back on their room-service hours during the pandemic, I would expect now a 4* hotel to provide 24-hour room service, even if it's with a reduced menu at night."
ASTON Bellevue Radio Dalam,Celia,5.0,"nice hotel rooms here, the facilities are good 👍 i stayed with my family, near gandaria city or pondok indah mall. The breakfast was also good 👍 i love it! free of parking charge for grab driver, just tell the lobby about your room stay and the car plate number 😁"
ASTON Bellevue Radio Dalam,Trip.com Member,4.5,Very convenient location. Less than 5 minutes drive to PIM mall. The staffs are very friendly and ready to assist you. The room is spacious and clean. The breakfast place was very crowded tho. I couldn’t find place to sit for breakfast.
ASTON Bellevue Radio Dalam,Rizky,4.0,"Stayed here for 2 nights.

The room was good, clean, spacious, and the ac was working properly. The shower head needs to be cleaned though.

My only complaint here is on the breakfast service, i can't found any coffee cup! There were only 2 which i believed was used as it has traces of coffee inside it. And the taste of the overall breakfast is okay which is disappointing for Aston."
ASTON Bellevue Radio Dalam,Aaliya Mia,5.0,"Modern and beautifully decorated hotel. Rooms are comfortable with an excellent bed and pillows.

Service is excellent and all requests are attended to promptly.

The Breakfast buffet offers a good selection of options, mostly Indonesian with some western options. The pastries are superb."
Hotel Mercure Jakarta Gatot Subroto,Reynaldi N,5.0,"My short stay at this hotel was fantastic! The staff were friendly, the check-out process was quick, and they even have a separate restaurant for meals. I particularly enjoyed having breakfast on the 7th floor, as it was peaceful and more laid-back compared to the 5th floor. An added bonus was receiving a complimentary healthy drink because the cook accidentally left an apple sticker in it. As for the room, it was spacious with lovely decor. The only downsides were the missing bathroom mat and the overly soft pillow - I prefer a firmer buckwheat one. The staff were attentive and made sure everyone's needs were met throughout my stay."
Hotel Mercure Jakarta Gatot Subroto,Abang A,5.0,"The room is very clean, the staff is very helpful. As an Accor's Platinum member, I should have gotten a room upgrade, but unfortunately the room was fully booked. Then i got a dining voucher as a replacement. The welcome drink was good. The executive lounge is okay. Next time I will come back as soon as possible to get more experience in this hotel, hopefully I can get a chance to get a room upgrade. One more thing, hopefully all rooms will have smart TV, because only a few have smart TV installed. thanks"
Hotel Mercure Jakarta Gatot Subroto,Lindi V,5.0,Lovely hotel with a great smell once you enter the front door - makes youf feel right at home. Morning time comes with a good breakfast. Got special treatment and special breakfast by Nabila. It was wonderful! Will definitely visit again soon.
Hotel Mercure Jakarta Gatot Subroto,Shinta A,4.0,Great taste and so many variant. |Thx a bunch for ms nabila for ur kindness. And for my room was comfy and so good view this is the second time for staying here good experience and good service by mba nabila thanks ypu very much hotel mercurw jakarta gatot subroto
Hotel Mercure Jakarta Gatot Subroto,Trip.com Member,5.0,"Highly recommended for anyone seeking a cozy, hassle-free stay! Conveniently located in the heart of Jakarta, it’s a great option for both leisure and business travelers. I stayed here for a business trip, and it turned out to be a choice I’m glad I made."
Hotel Mercure Jakarta Gatot Subroto,Binatya W,4.0,"Clean room with comfy bed and full amenities. Near the lobby has nice lounge. Also hotel staffs are nice and helpful. Had ice coffee from the cafe in hotel, it was nice, but haven’t tried the food. I would like to visit again if any chance…………….."
Hotel Mercure Jakarta Gatot Subroto,alfita h,3.0,"We checked in , ask the security to bring our luggage up in our room because we re going to have dinner first  and tipped him. He said ok and i believe understood the task|So we had dinner at their restaurant and cane back to our room to find the suitcases hadnt got there yet somehow. Called the front desk, they were confused and took like half an hour to locate the suitcases. |No greeting cards, no thank you for being all loyal member whatsoever. Never find this at any accor hotel chain, even ibis do better than this. |Accor needs to amp up their service, really"
Hotel Mercure Jakarta Gatot Subroto,Trip.com Member,5.0,"I love this hotel because it has so much optionality for us to book and when I arrived, it was basically a 5 star treatment like magic in Disneyland; I could feel the warmth of the staff getting ready to help me settle and be comfortable. I went to the gym once and it was also very clean and well facilitated."
Hotel Mercure Jakarta Gatot Subroto,Reynaldi N,5.0,"My short stay at this hotel was fantastic! The staff were friendly, the check-out process was quick, and they even have a separate restaurant for meals. I particularly enjoyed having breakfast on the 7th floor, as it was peaceful and more laid-back compared to the 5th floor. An added bonus was receiving a complimentary healthy drink because the cook accidentally left an apple sticker in it. As for the room, it was spacious with lovely decor. The only downsides were the missing bathroom mat and the overly soft pillow - I prefer a firmer buckwheat one. The staff were attentive and made sure everyone's needs were met throughout my stay."
Hotel Mercure Jakarta Gatot Subroto,Abang A,5.0,"The room is very clean, the staff is very helpful. As an Accor's Platinum member, I should have gotten a room upgrade, but unfortunately the room was fully booked. Then i got a dining voucher as a replacement. The welcome drink was good. The executive lounge is okay. Next time I will come back as soon as possible to get more experience in this hotel, hopefully I can get a chance to get a room upgrade. One more thing, hopefully all rooms will have smart TV, because only a few have smart TV installed. thanks"
Hotel Mercure Jakarta Gatot Subroto,Lindi V,5.0,Lovely hotel with a great smell once you enter the front door - makes youf feel right at home. Morning time comes with a good breakfast. Got special treatment and special breakfast by Nabila. It was wonderful! Will definitely visit again soon.
Hotel Mercure Jakarta Gatot Subroto,Shinta A,4.0,Great taste and so many variant. |Thx a bunch for ms nabila for ur kindness. And for my room was comfy and so good view this is the second time for staying here good experience and good service by mba nabila thanks ypu very much hotel mercurw jakarta gatot subroto
Hotel Mercure Jakarta Gatot Subroto,Trip.com Member,5.0,"Highly recommended for anyone seeking a cozy, hassle-free stay! Conveniently located in the heart of Jakarta, it’s a great option for both leisure and business travelers. I stayed here for a business trip, and it turned out to be a choice I’m glad I made."
Hotel Mercure Jakarta Gatot Subroto,Binatya W,4.0,"Clean room with comfy bed and full amenities. Near the lobby has nice lounge. Also hotel staffs are nice and helpful. Had ice coffee from the cafe in hotel, it was nice, but haven’t tried the food. I would like to visit again if any chance…………….."
Hotel Mercure Jakarta Gatot Subroto,alfita h,3.0,"We checked in , ask the security to bring our luggage up in our room because we re going to have dinner first  and tipped him. He said ok and i believe understood the task|So we had dinner at their restaurant and cane back to our room to find the suitcases hadnt got there yet somehow. Called the front desk, they were confused and took like half an hour to locate the suitcases. |No greeting cards, no thank you for being all loyal member whatsoever. Never find this at any accor hotel chain, even ibis do better than this. |Accor needs to amp up their service, really"
Hotel Mercure Jakarta Gatot Subroto,Trip.com Member,5.0,"I love this hotel because it has so much optionality for us to book and when I arrived, it was basically a 5 star treatment like magic in Disneyland; I could feel the warmth of the staff getting ready to help me settle and be comfortable. I went to the gym once and it was also very clean and well facilitated."
Hotel Mercure Jakarta Gatot Subroto,Reynaldi N,5.0,"My short stay at this hotel was fantastic! The staff were friendly, the check-out process was quick, and they even have a separate restaurant for meals. I particularly enjoyed having breakfast on the 7th floor, as it was peaceful and more laid-back compared to the 5th floor. An added bonus was receiving a complimentary healthy drink because the cook accidentally left an apple sticker in it. As for the room, it was spacious with lovely decor. The only downsides were the missing bathroom mat and the overly soft pillow - I prefer a firmer buckwheat one. The staff were attentive and made sure everyone's needs were met throughout my stay."
Hotel Mercure Jakarta Gatot Subroto,Abang A,5.0,"The room is very clean, the staff is very helpful. As an Accor's Platinum member, I should have gotten a room upgrade, but unfortunately the room was fully booked. Then i got a dining voucher as a replacement. The welcome drink was good. The executive lounge is okay. Next time I will come back as soon as possible to get more experience in this hotel, hopefully I can get a chance to get a room upgrade. One more thing, hopefully all rooms will have smart TV, because only a few have smart TV installed. thanks"
Hotel Mercure Jakarta Gatot Subroto,Lindi V,5.0,Lovely hotel with a great smell once you enter the front door - makes youf feel right at home. Morning time comes with a good breakfast. Got special treatment and special breakfast by Nabila. It was wonderful! Will definitely visit again soon.
Hotel Mercure Jakarta Gatot Subroto,Shinta A,4.0,Great taste and so many variant. |Thx a bunch for ms nabila for ur kindness. And for my room was comfy and so good view this is the second time for staying here good experience and good service by mba nabila thanks ypu very much hotel mercurw jakarta gatot subroto
Hotel Mercure Jakarta Gatot Subroto,Trip.com Member,5.0,"Highly recommended for anyone seeking a cozy, hassle-free stay! Conveniently located in the heart of Jakarta, it’s a great option for both leisure and business travelers. I stayed here for a business trip, and it turned out to be a choice I’m glad I made."
Hotel Mercure Jakarta Gatot Subroto,Binatya W,4.0,"Clean room with comfy bed and full amenities. Near the lobby has nice lounge. Also hotel staffs are nice and helpful. Had ice coffee from the cafe in hotel, it was nice, but haven’t tried the food. I would like to visit again if any chance…………….."
Hotel Mercure Jakarta Gatot Subroto,alfita h,3.0,"We checked in , ask the security to bring our luggage up in our room because we re going to have dinner first  and tipped him. He said ok and i believe understood the task|So we had dinner at their restaurant and cane back to our room to find the suitcases hadnt got there yet somehow. Called the front desk, they were confused and took like half an hour to locate the suitcases. |No greeting cards, no thank you for being all loyal member whatsoever. Never find this at any accor hotel chain, even ibis do better than this. |Accor needs to amp up their service, really"
Hotel Mercure Jakarta Gatot Subroto,Trip.com Member,5.0,"I love this hotel because it has so much optionality for us to book and when I arrived, it was basically a 5 star treatment like magic in Disneyland; I could feel the warmth of the staff getting ready to help me settle and be comfortable. I went to the gym once and it was also very clean and well facilitated."
Hotel Mercure Jakarta Gatot Subroto,Reynaldi N,5.0,"My short stay at this hotel was fantastic! The staff were friendly, the check-out process was quick, and they even have a separate restaurant for meals. I particularly enjoyed having breakfast on the 7th floor, as it was peaceful and more laid-back compared to the 5th floor. An added bonus was receiving a complimentary healthy drink because the cook accidentally left an apple sticker in it. As for the room, it was spacious with lovely decor. The only downsides were the missing bathroom mat and the overly soft pillow - I prefer a firmer buckwheat one. The staff were attentive and made sure everyone's needs were met throughout my stay."
Hotel Mercure Jakarta Gatot Subroto,Abang A,5.0,"The room is very clean, the staff is very helpful. As an Accor's Platinum member, I should have gotten a room upgrade, but unfortunately the room was fully booked. Then i got a dining voucher as a replacement. The welcome drink was good. The executive lounge is okay. Next time I will come back as soon as possible to get more experience in this hotel, hopefully I can get a chance to get a room upgrade. One more thing, hopefully all rooms will have smart TV, because only a few have smart TV installed. thanks"
Hotel Mercure Jakarta Gatot Subroto,Lindi V,5.0,Lovely hotel with a great smell once you enter the front door - makes youf feel right at home. Morning time comes with a good breakfast. Got special treatment and special breakfast by Nabila. It was wonderful! Will definitely visit again soon.
Hotel Mercure Jakarta Gatot Subroto,Shinta A,4.0,Great taste and so many variant. |Thx a bunch for ms nabila for ur kindness. And for my room was comfy and so good view this is the second time for staying here good experience and good service by mba nabila thanks ypu very much hotel mercurw jakarta gatot subroto
Hotel Mercure Jakarta Gatot Subroto,Trip.com Member,5.0,"Highly recommended for anyone seeking a cozy, hassle-free stay! Conveniently located in the heart of Jakarta, it’s a great option for both leisure and business travelers. I stayed here for a business trip, and it turned out to be a choice I’m glad I made."
Hotel Mercure Jakarta Gatot Subroto,Binatya W,4.0,"Clean room with comfy bed and full amenities. Near the lobby has nice lounge. Also hotel staffs are nice and helpful. Had ice coffee from the cafe in hotel, it was nice, but haven’t tried the food. I would like to visit again if any chance…………….."
Kemang Icon Jakarta,Robin Thuresson,1.0,"One of the worst hotels I have stayed at. Everything is super run down. I stayed there 20 years ago and it was fantastic. As others have already mentioned the rooms look good in the pictures but it is so run down and you can see they have done quick fixes to fix things and no major maintenance in years.

There is no free water in the room (which is standard for even 3* hotels in indonesia)

Electricity randomly turned off in the room and had to call electrician

Elevator didn’t go my level so had to walk 1 flight of stairs

Restaurant upstairs was closed and no room service, so had to order gofood

Door handle feel off to door.

Only 1 (of 2) AC units working so was extremely hot and uncomfortable

Construction upstairs so loud noises

Only good thing was the breakfast, which they serve to the room. There is no restaurant.

People should avoid this hotel until they actually do some maintenance and fix things. Needs major renovations."
